Candidate Name,Website,Facebook,Twitter,Instagram,City,State,Name of race
Palana Hunt-Hawkins,http://www.palanaformayor.com,https://www.facebook.com/palanaformayor,https://twitter.com/palanaformayor,https://www.instagram.com/palanaformayor,,NH,Mayor of Rochester
Liz Olhsson,https://www.lizolhsson.com,https://www.facebook.com/lizforlakehaven,https://twitter.com/lizolhsson,,,WA,"Lakehaven Water & Sewer Commissioner, Position 5"
Linnea Nemeth,https://linneafordover.com/,https://www.facebook.com/linnea4dover,https://twitter.com/nemeth_linnea,,,NH,"Dover City Council, At Large"
Joanna Kelley,,,,,,NH,"Portsmouth City Council, At Large"
Sean Sargent,,https://www.facebook.com/ward8sean/,,,,NH,"Manchester City Council, Ward 8"
Janeth Vazquez,https://www.janethvazquez.com,https://www.facebook.com/janethvazquezforliberal,,,,KS,Liberal City Council
Ben Dion,,https://www.facebook.com/bendionschoolboardward9,https://twitter.com/bendionnh,https://www.instagram.com/bendionnh,,NH,"Manchester School Board, Ward 9"
Heidi Garrido,http://www.heidigarrido.com,https://www.facebook.com/garridoforhopkins,https://twitter.com/garrido4hopkins,https://www.instagram.com/garrido4hopkins,,MN,Hopkins City Council
Anthony Sposato,,https://www.facebook.com/sposatoforsayreville,,,,NJ,Sayreville Board of Education
Jermoh Kamara,,https://www.facebook.com/jermoh4wps/,https://twitter.com/jermoh4wps?lang=en,,,MA,Worcester School Committee
Jackie Glass,https://www.jackie4norfolk.com/,https://www.facebook.com/jackie4norfolk,https://twitter.com/jackie4norfoll,https://www.instagram.com/jackie4norfolk,,VA,"Norfolk City Council, Superward 7"
"Lindsay Gottorff, LMSW, MPH",https://www.lindsaygottorff.com,https://www.facebook.com/gottorff4evans,https://twitter.com/gottorff4evans,https://www.instagram.com/gottorff4evans,,NY,Evans Town Council
Marshall Kilgore,,https://www.facebook.com/vicechairkilgore/,https://twitter.com/marshallkilgore?lang=en,https://www.instagram.com/marshall4thecity/?hl=en,,MI,Kalamazoo City Commission
Mary Kate Feeney,http://www.feeneyforframingham.com,https://www.facebook.com/feeneyforframingham,https://twitter.com/feeney4fram,https://www.instagram.com/feeneyforframingham/,,MA,"Framingham City Council, District 3"
Kate Stutzel,,https://www.facebook.com/emersonnj2021,,https://www.instagram.com/emersonnj2021,,NJ,Emerson Town Council
Gerard Balan,https://www.betterwithbalan.com/,https://www.facebook.com/betterwithbalan/,https://twitter.com/balanwith,https://www.instagram.com/betterwithbalan/,,MN,Hopkins City Council
Destiny Hallenbeck,https://www.destinyforchatham.com/,https://www.facebook.com/destinyforchatham,https://twitter.com/destiny4chatham,https://www.instagram.com/destinyforchatham/,,NY,Chatham Town Council
Adrian Serna,https://adrianforconshy.com,https://www.facebook.com/groups/1523975467993271,,,,PA,"Conshohocken Borough Council, 2nd Ward"
Caitlin Ogden,https://www.ogdenforotsego.com/,https://www.facebook.com/caitlinogdenfordistrict3,,https://www.instagram.com/ogdenforotsego/,,NY,"Otsego County Board of Representatives, District 3"
Cricket Denton,http://cricketdenton.com,https://www.facebook.com/candidatecricket,https://twitter.com/dentoncricket,https://www.instagram.com/cricketdenton,,NJ,Upper Township Committee
Mikal Goodman,https://www.mikalforpontiac.com,https://www.facebook.com/mikalforpontiac,,,,MI,"Pontiac City Council, District 3"
Brandi Webber,https://www.brandiwebberforcitycouncil.com/,https://www.facebook.com/brandicitycouncil,https://twitter.com/brandidsmward3,https://www.instagram.com/brandicitycouncil/,,IA,"Des Moines City Council, Ward 3"
Sid Bahl,https://www.votesidbahl.com,https://www.facebook.com/votesidbahl,,,,NY,Webster Town Board
Katrina Hobbs Everett,https://www.katrinahobbseverett.com/,https://www.facebook.com/katrinahobbseverett,https://twitter.com/kathobbseverett,https://www.instagram.com/katrinahobbseverett/,,MA,Haverhill City Council
Alfred 'Shivy' Brooks,https://brooksforatl.com,https://www.facebook.com/brooksforatl,https://twitter.com/brooksforatl,https://www.instagram.com/brooksforatl,,GA,"Atlanta City Council, At-Large"
Jeffrey Mendoza,https://www.jeffreyforwaterone.com/,https://www.facebook.com/jeffreyforwaterone/,,,,KS,"Water District No. 1 of Johnson County, Seat 4"
Stacey Smith,https://staceysmithccc.wordpress.com,https://www.facebook.com/staceysmithccc,https://twitter.com/staceysmithccc,,,OH,Cincinnati City Council
Jason L. Inge,https://www.jasoninge.com,https://www.facebook.com/jinge2021,https://twitter.com/jinge2021,https://www.instagram.com/jinge2021,,VA,"Norfolk City Council, Ward 7"
Terrence Casey,https://springfieldforward.org/terrence-casey-6th-ward/,https://www.facebook.com/springfield6th,https://twitter.com/terry_casey,https://www.instagram.com/caseyforcommissioner/,,PA,"Springfield Township Commissioner, Ward 6"
Michael Careccia,https://www.michaelcareccia.com/,https://www.facebook.com/careccianc,https://twitter.com/careccianc,,,NC,Lenoir City Council
Erin Ward,https://www.eward4eb.com/,https://www.facebook.com/eward4eb,,,,PA,East Brandywine Township Supervisor
Crystal Paradis,http://paradisformayor.com/,https://www.facebook.com/cp4somersworth,https://twitter.com/paradisformayor,https://www.instagram.com/paradisformayor/,,NH,Mayor of Somersworth
Samantha Perlman,https://www.samanthaperlman.org/,https://www.facebook.com/samformarlboro/,https://twitter.com/samformarlboro,https://www.instagram.com/samformarlboro/,,MA,"Marlborough City Council, At-Large"
Chanell Elston,,https://www.facebook.com/councilwoman-chanell-elston-125199652372276/,,https://www.instagram.com/councilwomanchanellelston/,,OH,"South Euclid City Council,  At Large"
Darwin Peters II,https://www.darwinforcpsd.com,https://www.facebook.com/darwinforcpsd,,https://www.instagram.com/darwin4cpsd/,,WA,"Clover Park School District, District 3"
Megan N. Kilgore,https://www.kilgoreforcolumbus.com/,https://www.facebook.com/kilgoreforcolumbus/,,https://www.instagram.com/kilgoreforcolumbus/,,OH,Columbus City Auditor
Ukeme Awakessien Jeter,https://www.ukemeforua.com,https://www.facebook.com/ukemeforua,https://twitter.com/ukemeforua,https://www.instagram.com/ukemeforua/,,OH,"Upper Arlington City Council, At-Large"
Caitlin Wyrick,https://wyrick4loveland.com/,https://www.facebook.com/wyrick4loveland,,,,CO,"Loveland City Council, Ward IV"
Brandon Cory Goldberg,https://www.brandoncorygoldberg.com,https://www.facebook.com/brandoncorygoldberg,https://twitter.com/goldbergforatl,https://www.instagram.com/brandoncorygoldberg,,GA,"Atlanta City Council, Post 1 At-Large"
Marion T. Johnson,https://www.mariontjohnson.com/,https://www.facebook.com/mariontjohnson4durham,https://twitter.com/mariontjohnson,https://www.instagram.com/mariontjohnson4durham/,,NC,"Durham City Council, Ward 1"
Pat Peters,https://patpetersforiowa.com,https://www.facebook.com/patrick.s.peters.3/,https://twitter.com/pat_peters,https://www.instagram.com/ppeters0502/,,IA,Council Bluffs Community School Board of Education
Amber Sellers,https://sellers4lawrence.org,https://www.facebook.com/sellers4lcc,https://twitter.com/ambrwavz,,,KS,Lawrence City Commission
Justin Tseng,https://www.justin4medford.com,https://www.facebook.com/justin4medford,https://twitter.com/justin4medford,https://www.instagram.com/justin4medford/,,MA,"Medford City Council, At-Large"
Amanda Chavez,https://www.amandachavezforsantafe.com/,https://www.facebook.com/amandachavezforsantafe,,,,NM,"Santa Fe City Council, District 4"
Blanca Ilean Soto,,https://www.facebook.com/blancasotoforcitycommission,,,,KS,Dodge City Council
Jon Haddad,https://jonforwestland.com,,,,,MI,Westland City Council
Dustin Wimbish,https://www.wimbish4delegate.com,,,,,VA,"Virginia House, District 8"
Cole Robinson,https://coleforpv.com,https://www.facebook.com/coleforpv,https://twitter.com/coleforpv,,,KS,"Prairie Village City Council, Ward 1"
Justyn Lewis,https://www.justynlewis.com,https://www.facebook.com/justyn4dsm/,https://twitter.com/justyn4dsm,https://www.instagram.com/justyn4dsm/,,IA,"Des Moines City Council, At-Large"
Suzie Schuckman,http://www.suzieforarvada2021.com,https://www.facebook.com/suzieforarvada/,,https://www.instagram.com/suzieforarvada/,,CO,"Arvada City Council, District 3"
Allyson â€œALâ€ Lewis,https://lewisforlakeland.com,,,,,FL,"Lakeland City Commissioner, Southwest District C"
Sara Dion,https://www.saraforsomerville.org,https://www.facebook.com/saraforsomerville,,https://www.instagram.com/saraforsomerville,,MA,"Somerville School Committee, Ward 7"
Alicia D. Smith,,,,,,MN,"Minneapolis Park and Recreation Board, At Large"
